wss://wss//relay.primal.net/,0
wss://nostr.mutinywallet.com/,0
wss://nostr.decentony.com/,0
wss://nostr.milou.lol/,0
wss://nostr.bitcoinplebs.de/,0
wss://njump.me/,0
wss://nostr.inosta.cc/,0
wss://140.f7z.io/,0
wss://relay.nostr.pt/,0
wss://nostr.gleeze.com,0
wss://relay.plebstr.com,0
wss://relay.lnfi.network/,0
ws://relay.damus.io/,0
wss://wot.utxo.one/,0
wss://nostrua.com/,0
wss://agora.nostr1.com,0
wss://relay.nostr.or.jp/,0
wss://relay.nostrgraph.net/,0
wss://relay-jp.nostr.wirednet.jp/,0
wss://relay.siamstr.com/,0
wss://relayable.org,0
wss://relay.orangepill.dev/,0
wss://nostr.lnprivate.network/,0
wss://relay.nostrati.com/,0
wss://relay.nostr.wirednet.jp,13
wss://nostr.plebchain.org/,0
wss://brb.io/,0
wss://relay.nostr.wirednet.jp/,17
ws://umbrel.local:4848,0
wss://relay.nostrich.land/,0
wss://nostrelites.org,0
ws://192.168.1.20:8080/,0
ws://nastyrelay.io:5000/nostrrelay/1,0
wss://nostr.1661.io/,0
wss://nostr.easydns.ca,0
wss://relay.momostr.pink/,0
wss://nostr.guru/,0
wss://wss//nostr.bitcoiner.social/,0
wss://rkgk.moe,0
wss://relay.current.fyi/,0
ws://192.168.1.80:4869,0
wss://satsage.xyz,0
wss://wot.girino.org/,0
wss://wot.girino.org,0
wss://relay.nostriches.org/,0
wss://relay.pleb.to/,0
wss://relay.nos.social,0
wss://wot.nostr.party,0
wss://nostr.fmt.wiz.biz/,0
ws://nastyrelay.io:7778/,0
wss://nostr-paid.h3z.jp/,0
wss://nostr.donky.social/,0
wss://relay.siamstr.com,0
wss://nostr.h3z.jp/,0
wss://private.red.gb.net,10
wss://nostr.holybea.com/,0
wss://relay.current.fyi,0
